seed,group,source_uid,true_label,pred_label,correct,prob_benign,prob_sqli,prob_xss,logit_gap
44,attribute_spacing_out_of_range,window_test_out_of_range_04,2,2,1,1.3613424165725974e-08,5.070364395010074e-08,0.9999998807907104,0.9999998300870665
44,attribute_spacing_out_of_range,window_test_out_of_range_05,2,2,1,1.228205981362862e-08,5.0172129562042755e-08,0.9999998807907104,0.9999998306185809
44,attribute_spacing_out_of_range,window_test_out_of_range_06,2,2,1,1.4315511442930529e-08,5.0127077599881886e-08,0.9999998807907104,0.9999998306636328
44,attribute_spacing_out_of_range,window_test_out_of_range_07,2,2,1,1.0665609728732761e-08,5.327132157617598e-08,0.9999998807907104,0.9999998275193889
44,attribute_spacing_out_of_range,window_test_out_of_range_08,2,2,1,1.0227732438750081e-08,5.4691593476263733e-08,0.9999998807907104,0.999999826099117
44,attribute_spacing_out_of_range,window_test_out_of_range_09,2,2,1,1.1489570184153308e-08,5.3231911323337044e-08,0.9999998807907104,0.9999998275587991
45,attribute_spacing_in_range,window_test_in_range_00,2,2,1,8.929407777427678e-15,5.1005156180431235e-14,1.0,0.999999999999949
45,attribute_spacing_in_range,window_test_in_range_01,2,2,1,8.736278336223067e-15,5.41680991782232e-14,1.0,0.9999999999999458
45,attribute_spacing_in_range,window_test_in_range_02,2,2,1,8.929407777427678e-15,5.1005156180431235e-14,1.0,0.999999999999949
45,attribute_spacing_in_range,window_test_in_range_03,2,2,1,8.025212811727921e-15,4.343365063766945e-14,1.0,0.9999999999999566
45,attribute_spacing_in_range,window_test_in_range_04,2,2,1,8.078935029374578e-15,4.9127863506904373e-14,1.0,0.9999999999999508
45,attribute_spacing_in_range,window_test_in_range_05,2,2,1,8.078935029374578e-15,4.9127863506904373e-14,1.0,0.9999999999999508
45,attribute_spacing_in_range,window_test_in_range_06,2,2,1,7.46461421998303e-15,4.604399950506807e-14,1.0,0.9999999999999539
45,attribute_spacing_in_range,window_test_in_range_07,2,2,1,6.861788918235143e-15,4.9088429041012e-14,1.0,0.9999999999999509
45,attribute_spacing_in_range,window_test_in_range_08,2,2,1,8.06470995805839e-15,5.611808760741521e-14,1.0,0.9999999999999439
45,attribute_spacing_in_range,window_test_in_range_09,2,2,1,8.484725644514537e-15,5.5358709017674576e-14,1.0,0.9999999999999446
45,attribute_spacing_out_of_range,window_test_out_of_range_00,2,2,1,5.117647028807931e-14,4.5237563152909777e-14,1.0,0.9999999999999488
45,attribute_spacing_out_of_range,window_test_out_of_range_01,2,2,1,5.632956124115851e-14,5.348945638088305e-14,1.0,0.9999999999999437
45,attribute_spacing_out_of_range,window_test_out_of_range_02,2,2,1,6.100386173860453e-14,5.214961627678441e-14,1.0,0.999999999999939
45,attribute_spacing_out_of_range,window_test_out_of_range_03,2,2,1,5.681750642888561e-14,4.5506878972555176e-14,1.0,0.9999999999999432
45,attribute_spacing_out_of_range,window_test_out_of_range_04,2,2,1,5.376798791899458e-14,4.914613908977433e-14,1.0,0.9999999999999463
45,attribute_spacing_out_of_range,window_test_out_of_range_05,2,2,1,4.183439483501292e-14,4.608502978103307e-14,1.0,0.9999999999999539
45,attribute_spacing_out_of_range,window_test_out_of_range_06,2,2,1,5.170452079179301e-14,4.716612164853626e-14,1.0,0.9999999999999483
45,attribute_spacing_out_of_range,window_test_out_of_range_07,2,2,1,4.51229494307509e-14,4.842435859849642e-14,1.0,0.9999999999999516
45,attribute_spacing_out_of_range,window_test_out_of_range_08,2,2,1,5.136226865912544e-14,5.4657541920201044e-14,1.0,0.9999999999999454
45,attribute_spacing_out_of_range,window_test_out_of_range_09,2,2,1,5.498524202683479e-14,5.4333036821844344e-14,1.0,0.999999999999945
46,attribute_spacing_in_range,window_test_in_range_00,2,2,1,8.546436706342782e-17,1.472429559464146e-14,1.0,0.9999999999999852
46,attribute_spacing_in_range,window_test_in_range_01,2,2,1,9.223996227952728e-17,1.791945803168108e-14,1.0,0.9999999999999821
46,attribute_spacing_in_range,window_test_in_range_02,2,2,1,8.546436706342782e-17,1.472429559464146e-14,1.0,0.9999999999999852
46,attribute_spacing_in_range,window_test_in_range_03,2,2,1,6.974041139006852e-17,1.0852667234936136e-14,1.0,0.9999999999999891
46,attribute_spacing_in_range,window_test_in_range_04,2,2,1,8.282763290796399e-17,1.499484469425806e-14,1.0,0.999999999999985
46,attribute_spacing_in_range,window_test_in_range_05,2,2,1,8.282763290796399e-17,1.499484469425806e-14,1.0,0.999999999999985
46,attribute_spacing_in_range,window_test_in_range_06,2,2,1,7.642762401207791e-17,1.366095838474567e-14,1.0,0.9999999999999863
46,attribute_spacing_in_range,window_test_in_range_07,2,2,1,8.376978500821699e-17,1.865896522847913e-14,1.0,0.9999999999999813
46,attribute_spacing_in_range,window_test_in_range_08,2,2,1,9.400578112909118e-17,2.163850357033391e-14,1.0,0.9999999999999784
46,attribute_spacing_in_range,window_test_in_range_09,2,2,1,9.350043994927029e-17,1.9608284180377966e-14,1.0,0.9999999999999803
46,attribute_spacing_out_of_range,window_test_out_of_range_00,2,2,1,4.201924251745487e-16,4.0043109886950257e-14,1.0,0.9999999999999599
46,attribute_spacing_out_of_range,window_test_out_of_range_01,2,2,1,4.370459985447451e-16,4.842094336165309e-14,1.0,0.9999999999999516
46,attribute_spacing_out_of_range,window_test_out_of_range_02,2,2,1,4.3405200177399717e-16,4.060765395816346e-14,1.0,0.9999999999999594
46,attribute_spacing_out_of_range,window_test_out_of_range_03,2,2,1,4.1578684799720145e-16,3.2490926859781236e-14,1.0,0.9999999999999675
46,attribute_spacing_out_of_range,window_test_out_of_range_04,2,2,1,3.9899283163110884e-16,3.936429429488887e-14,1.0,0.9999999999999606
46,attribute_spacing_out_of_range,window_test_out_of_range_05,2,2,1,3.3154097753306834e-16,3.5085263416344964e-14,1.0,0.9999999999999649
46,attribute_spacing_out_of_range,window_test_out_of_range_06,2,2,1,4.1827331321386645e-16,3.914477046001487e-14,1.0,0.9999999999999608
46,attribute_spacing_out_of_range,window_test_out_of_range_07,2,2,1,4.2771079549349625e-16,5.248049445103625e-14,1.0,0.9999999999999475
46,attribute_spacing_out_of_range,window_test_out_of_range_08,2,2,1,4.505359246720559e-16,5.974696648883282e-14,1.0,0.9999999999999403
46,attribute_spacing_out_of_range,window_test_out_of_range_09,2,2,1,4.451748943302058e-16,5.363391276783959e-14,1.0,0.9999999999999464
